title,company,salary,industry,description
运营专员,宜信普惠,7k-9k,金融 / 上市公司 / 2000人以上,“平台大 统筹管理”
电商文案策划,帝加传媒,8k-16k,"移动互联网,社交网络 / 不需要融资 / 15-50人",“高薪、多福利、有前景”
运维主管,湖北群艺,13k-20k,"企业服务,教育 / 不需要融资 / 150-500人",“岗位晋升绩效奖金团队聚餐五险一金”
JSJ-高性能计算资深架构师,顺丰科技有限公司,30k-40k,"移动互联网,电子商务 / 不需要融资 / 500-2000人",“重点项目 技术氛围”
知识图谱工程师,泛微,25k-50k,"移动互联网,企业服务 / 上市公司 / 2000人以上","“免费三餐,周末双休,绩效奖金,员工旅游”"
人力资源管理培训生,松茂科技,8k-12k,移动互联网 / A轮 / 50-150人,"“十点上班,五险一金,周末双休,年终奖金”"
项目经理,星启,6k-10k,移动互联网 / 未融资 / 少于15人,“五险一金、发展空间大、扁平管理、领导好”
高级交互设计师,沪江,15k-25k,"移动互联网,教育 / D轮及以上 / 500-2000人",“优厚福利，发展空间大，弹性工作制”
客服专员（V2018103001）,滴滴出行,3k-6k,移动互联网 / 不需要融资 / 2000人以上,“大平台 互联网”
Facebook投放,广州细刻,4k-8k,电子商务 / A轮 / 500-2000人,“发展空间j大 薪资高”
策划（AR）,商询科技,10k-15k,"企业服务,数据服务 / A轮 / 50-150人",“AR/MR”
承保管理专员,花生好车,6k-8k,"金融,电子商务 / B轮 / 500-2000人",“1、审核保险保单信息 2、完成报表输出”
翻硕老师（百科与写作）,橙啦教育,15k-20k,"移动互联网,教育 / A轮 / 150-500人",“办公地点灵活”
中间件架构师,投哪网,35k-55k,金融 / C轮 / 2000人以上,“前十P2P 领导nice 大牛多”
Java开发工程师,钰昊集团,8k-15k,"移动互联网,电子商务 / 未融资 / 50-150人","“五险一金,法定节假日,带薪年假,节日福利”"
美妆内容运营,帝加传媒,8k-15k,"移动互联网,社交网络 / 不需要融资 / 15-50人",“高薪、多福利、有前景”
运维工程师,松茂科技,12k-20k,移动互联网 / A轮 / 50-150人,"“十点上班,周末双休,五险一金,年终奖金”"
品类负责人,沪江,15k-25k,"移动互联网,教育 / D轮及以上 / 500-2000人",“优厚福利，发展空间大，弹性工作制”
