title,category,content rate
17 Again,comedy,PG-13
2500 km,drama,TV-14
5 Flights Up,drama,PG-13
61*,drama,TV-MA
El Abogado (The Lawyer),comedy,TV-14
About Time,romance,R
Adam,drama,PG-13
Against the Wall,drama,TV-MA
Al Final del Tunel (At the End of the Tunnel),suspense,TV-MA
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",,TV-Y
Alice Telefilm Part 1: The First Day of the Rest of My Life,drama,TV-MA
Alice Telefilm Part 2: The Last Night,drama,TV-MA
All About Steve,romance,PG-13
All The Way,drama,TV-14
Alpha and Omega 2: A Howl-iday Adventure,family,TV-PG
Alpha and Omega 4: The Legend of the Saw Toothed Cave,family,TV-PG
Alpha and Omega 5: Family Vacation,family,TV-PG
Altitude,action,R
Amelia,drama,PG
American Loser,comedy,R
American Made,suspense,R
American Splendor,comedy,R
El Amparo,drama,TV-MA
Analyze That,comedy,R
Analyze This,comedy,R
Anchorman: The Legend of Ron Burgundy,comedy,PG-13
And Starring Pancho Villa as Himself,drama,TV-MA
And the Band Played On,drama,PG-13
Angel Rodriguez,drama,TV-MA
Annapolis,drama,PG-13
Anywhere but Here,drama,PG-13
Around the World in 80 Days,comedy,PG
As You Like It,romance,PG
Atomic Blonde,suspense,R
Away We Go,romance,R
Barbershop,comedy,PG-13
Barbershop 2: Back in Business,comedy,PG-13
Batman (1966),action,PG
Battle of the Sexes,drama,PG-13
Battle of the Sexes: HBO First Look,comedy,TV-PG
Behind the Candelabra,drama,TV-MA
Being John Malkovich,,R
The Belko Experiment,suspense,R
Bernard and Doris,drama,TV-14
Bessie,drama,TV-MA
Beyond Borders,romance,R
The Big Green,comedy,PG
The Big Kahuna,comedy,R
Birthday Boy,drama,TV-14
Black Sea,suspense,R
Blade Runner 2049,horror-sci-fi,R
The Blind Side,drama,PG-13
Blood Work,suspense,R
Blow,drama,R
Bohemian Rhapsody: HBO First Look,drama,TV-14
The Boy Downstairs,comedy,TV-14
Boycott,comedy,PG
Bridget Jones's Diary,comedy,R
Bring It On,comedy,PG-13
Bring It On Again,comedy,PG-13
Bring It On: All or Nothing,comedy,PG-13
The Brothers McMullen,romance,R
Bury My Heart at Wounded Knee,drama,TV-14
Los Buscadores (Gold Seekers),latino,TV-14
Butch Cassidy and the Sundance Kid,comedy,PG
The Butterfly Effect 3: Revelations,suspense,R
Capturing Mary,drama,TV-14
La Cara Oculta (The Hidden Face),suspense,R
Carpinteros (Woodpeckers),drama,TV-MA
La casa de Beatriz (Beatriz's House),comedy,TV-14
Cast a Deadly Spell,horror-sci-fi,R
Cats & Dogs: The Revenge of Kitty Galore,comedy,PG
El Cerdo (The Pig),comedy,TV-PG
Cheaper by the Dozen,comedy,PG
Chicago,drama,PG-13
A Child's Garden of Verses,,TV-Y7
CHIPS,comedy,R
A Christmas Carol,drama,TV-PG
Cinema Verite,drama,TV-14
Citizen X,suspense,R
Class Action,drama,R
Clear History,comedy,TV-MA
Cleopatra,drama,G
Collision Course,comedy,PG
The Company,drama,PG-13
Confirmation,drama,TV-14
Conspiracy,drama,R
Cool Runnings,comedy,PG
The Cooler,romance,R
Cooties,comedy,R
